[2024-08-04T21:08:44.202+0300][0.005s][info][gc] Using G1
[2024-08-04T21:08:44.203+0300][0.006s][debug][gc] ConcGCThreads: 3 offset 22
[2024-08-04T21:08:44.203+0300][0.006s][debug][gc] ParallelGCThreads: 10
[2024-08-04T21:08:44.203+0300][0.007s][debug][gc] Initialize mark stack with 4096 chunks, maximum 524288
[2024-08-04T21:08:47.028+0300][2,832s][info ][gc] GC(92) Pause Cleanup 222M->222M(256M) 0,142ms
[2024-08-04T21:08:47.029+0300][2,832s][info ][gc] GC(92) Concurrent Mark Cycle 172,584ms
[2024-08-04T21:08:47.039+0300][2,843s][info ][gc] GC(98) Pause Young (Prepare Mixed) (G1 Evacuation Pause) 233M->215M(256M) 6,350ms
[2024-08-04T21:08:47.052+0300][2,855s][info ][gc] GC(99) Pause Young (Mixed) (G1 Evacuation Pause) 234M->219M(256M) 4,853ms
[2024-08-04T21:08:47.063+0300][2,866s][info ][gc] GC(100) Pause Young (Concurrent Start) (G1 Evacuation Pause) 236M->223M(256M) 4,117ms
[2024-08-04T21:08:47.063+0300][2,867s][info ][gc] GC(101) Concurrent Mark Cycle
[2024-08-04T21:08:47.073+0300][2,877s][info ][gc] GC(102) Pause Young (Normal) (G1 Evacuation Pause) 236M->226M(256M) 3,621ms
[2024-08-04T21:08:47.082+0300][2,885s][info ][gc] GC(103) Pause Young (Normal) (G1 Evacuation Pause) 237M->228M(256M) 2,998ms
[2024-08-04T21:08:47.089+0300][2,893s][info ][gc] GC(104) Pause Young (Normal) (G1 Evacuation Pause) 238M->231M(256M) 2,643ms
[2024-08-04T21:08:47.097+0300][2,900s][info ][gc] GC(105) Pause Young (Normal) (G1 Evacuation Pause) 241M->233M(256M) 2,602ms
[2024-08-04T21:08:47.104+0300][2,908s][info ][gc] GC(106) Pause Young (Normal) (G1 Evacuation Pause) 243M->235M(256M) 2,563ms
[2024-08-04T21:08:47.112+0300][2,916s][info ][gc] GC(107) Pause Young (Normal) (G1 Evacuation Pause) 245M->237M(256M) 2,709ms
[2024-08-04T21:08:47.120+0300][2,924s][info ][gc] GC(108) Pause Young (Normal) (G1 Evacuation Pause) 247M->239M(256M) 2,575ms
[2024-08-04T21:08:47.128+0300][2,931s][info ][gc] GC(109) Pause Young (Normal) (G1 Evacuation Pause) 249M->242M(256M) 2,618ms
[2024-08-04T21:08:47.136+0300][2,940s][info ][gc] GC(110) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 252M->251M(256M) 3,356ms
[2024-08-04T21:08:47.139+0300][2,942s][info ][gc] GC(111) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 253M->251M(256M) 1,612ms
[2024-08-04T21:08:47.141+0300][2,944s][info ][gc] GC(112) Pause Young (Normal) (G1 Evacuation Pause) 252M->251M(256M) 1,169ms
[2024-08-04T21:08:47.143+0300][2,946s][info ][gc] GC(113) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 252M->252M(256M) 1,315ms
[2024-08-04T21:08:47.143+0300][2,947s][debug][gc] GC(114) Clear Bitmap 0,210ms
[2024-08-04T21:08:47.270+0300][3,074s][info ][gc] GC(114) Pause Full (G1 Compaction Pause) 252M->229M(256M) 127,557ms
[2024-08-04T21:08:47.270+0300][3,074s][info ][gc] GC(101) Concurrent Mark Cycle 207,499ms
[2024-08-04T21:08:47.278+0300][3,082s][info ][gc] GC(115) Pause Young (Normal) (G1 Evacuation Pause) 241M->231M(256M) 2,500ms
[2024-08-04T21:08:47.285+0300][3,089s][info ][gc] GC(116) Pause Young (Concurrent Start) (G1 Evacuation Pause) 241M->233M(256M) 2,801ms
[2024-08-04T21:08:47.285+0300][3,089s][info ][gc] GC(117) Concurrent Mark Cycle
[2024-08-04T21:08:47.293+0300][3,096s][info ][gc] GC(118) Pause Young (Normal) (G1 Evacuation Pause) 243M->235M(256M) 2,285ms
[2024-08-04T21:08:47.300+0300][3,103s][info ][gc] GC(119) Pause Young (Normal) (G1 Evacuation Pause) 245M->237M(256M) 2,275ms
[2024-08-04T21:08:47.337+0300][3,141s][info ][gc] GC(120) Pause Young (Normal) (G1 Evacuation Pause) 247M->236M(256M) 1,425ms
[2024-08-04T21:08:47.345+0300][3,149s][info ][gc] GC(121) Pause Young (Normal) (G1 Evacuation Pause) 247M->238M(256M) 2,750ms
[2024-08-04T21:08:47.361+0300][3,164s][info ][gc] GC(122) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 248M->245M(256M) 4,055ms
[2024-08-04T21:08:47.371+0300][3,174s][info ][gc] GC(123) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 251M->249M(256M) 3,143ms
[2024-08-04T21:08:47.375+0300][3,179s][info ][gc] GC(124) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 251M->249M(256M) 2,146ms
[2024-08-04T21:08:47.378+0300][3,182s][info ][gc] GC(125) Pause Young (Normal) (G1 Evacuation Pause) 250M->249M(256M) 1,241ms
[2024-08-04T21:08:47.381+0300][3,185s][info ][gc] GC(126) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 250M->250M(256M) 1,352ms
[2024-08-04T21:08:47.382+0300][3,185s][debug][gc] GC(127) Clear Bitmap 0,162ms
[2024-08-04T21:08:47.398+0300][3,202s][info ][gc] GC(127) Pause Full (G1 Compaction Pause) 250M->44M(256M) 17,231ms
[2024-08-04T21:08:47.399+0300][3,202s][info ][gc] GC(117) Concurrent Mark Cycle 113,249ms
[2024-08-04T21:08:47.506+0300][3,310s][info ][gc] GC(128) Pause Young (Normal) (G1 Evacuation Pause) 188M->72M(256M) 29,305ms
[2024-08-04T21:08:47.583+0300][3,387s][info ][gc] GC(129) Pause Young (Normal) (G1 Evacuation Pause) 196M->98M(256M) 27,577ms
[2024-08-04T21:08:47.649+0300][3,452s][info ][gc] GC(130) Pause Young (Concurrent Start) (G1 Evacuation Pause) 203M->121M(256M) 24,066ms
[2024-08-04T21:08:47.649+0300][3,452s][info ][gc] GC(131) Concurrent Mark Cycle
[2024-08-04T21:08:47.711+0300][3,515s][info ][gc] GC(132) Pause Young (Normal) (G1 Evacuation Pause) 211M->140M(256M) 18,730ms
[2024-08-04T21:08:47.737+0300][3,541s][info ][gc] GC(131) Pause Remark 193M->193M(256M) 0,709ms
